Product Name,Specification,Price
"Acer Chromebook C734 11.6"" HD",Intel Celeron N4500 - 4GB RAM - 32GB eMMC - ChromeOS - AC WiFi 5 - Webcam - 3Y Warranty,439.3
"MSI Modern 14 F13MG-258NZ 14"" FHD Laptop",Intel Core i5-1334U - 16GB RAM - 512GB SSD - Win 11 Home - 1Y Warranty - AX Wi-Fi 6E + BT5.3,"1,149.00"
"HP ZBook Firefly 14 G11 Mobile Workstation 14"" WUXGA Touch",Intel Core Ultra 7 155H - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - 3Y NBD Onsite Warranty,"2,482.25"
"HP ZBook Firefly 14 G10 Mobile Workstation 14"" WUXGA Touch",Intel Core i5-1340P - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Webcam - Backlit Keyboard - Thunderbolt 4 - HDMI 2.0b - 3Y NBD Onsite Warranty,"1,989.50"
"MSI Modern 15 F13MG-010NZ 15.6"" FHD Laptop",Intel Core i7-1355U - 16GB RAM - 1TB SSD - Win 11 Home - 1Y Warranty - AX Wi-Fi 6E + BT5.3,"1,499.00"
"ASUS Chromebook CX1400CKA 14"" FHD",Intel Celeron N4500 - 4GB RAM - 64GB eMMC - ChromeOS - AX WiFi 6 + BT5.2 - Webcam - USB-C (PD & DP) - MicroSD Reader,402.5
"Apple MacBook Air 13"" Laptop with M3 Chip - Space Grey","16GB RAM - 512GB SSD - 8-Core CPU -10-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera - Works with iPhone & iPad","2,155.00"
"Dell XPS 13 13.4"" 3K Touch OLED",Intel Core Ultra 7 258V - 32GB RAM - 1TB SSD - Win 11 Home - BE WiFi 7 + BT5.4 - Webcam - Thunderbolt4 (with PD & DP2.1),"3,698.00"
"ASUS Chromebook CX1500CKA 15.6"" FHD",Intel Celeron N4500 - 8GB RAM - 128G eMMC - ChromeOS - 1Y Warranty - AX WiFi6 + BT5.2 - Webcam - MicroSD Reader,571.55
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 16GB RAM - 500GB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,001.00"
"Lenovo Legion 5 16IRX9 RTX 4060 Gaming Laptop 16"" WQXGA 165Hz",Intel Core i7-14650HX - 16GB RAM - 1TB SSD - Win 11 Home - AX WiFi 6E + BT5.2 - Webcam - USB-C (with PD & DP1.4) - HDMI2.1 - RJ45 - 1Y Warranty,"3,399.00"
"HP Spectre Foldable 17-cs0000tu 17"" 2.5K Laptop",Intel Core i7-1250U - 16GB RAM - 1TB SSD - AX WiFi 6E + BT5.3 - IR Cam - Thunderbolt 4 (PD & DP1.4) - Win 11 Home - 1Y Warranty,"9,999.00"
"ASUS Vivobook 17 D3704YA 17.3"" FHD AMD Ryzen 5 7430U - 16GB RAM - 512GB SSD - Win 11 Home",- 1yr warranty - AC WiFi 5 + BT5.1 - Webcam - USB-C & HDMI1.4,"1,404.92"
"MSI Stealth A16 AI+ A3HVFG-027NZ RTX 4060 Gaming Laptop 16"" QHD+ 240Hz",AMD Ryzen AI 9 365 - 32GB RAM - 1TB SSD - Win 11 Home - 2Y Warranty - BE WiFi 7 + BT5.4 - Per Key RGB Keyboard,"3,999.00"
"ASUS ProArt PX13 OLED HN7306WI RTX 4070 Gaming Laptop 13.3"" 3K 60Hz Touch",AMD Ryzen AI 9 HX 370 - 32GB RAM - 1TB SSD - Win 11 Pro - BE WiFi 7 + BT5.4 - IR Cam - USB4 (with PD & DP) - HDMI2.1 FRL - Backlit Keyboard - 1Y Warranty,"4,417.66"
"Apple Macbook Pro 14"" Laptop with M3 Chip - Space Grey",16GB Unified Memory - 1TB SSD - 8-Core CPU - 10-Core GPU - 14-inch Liquid Retina XDR Display 70W USB-C Power Adapter,"2,999.00"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 5 125U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,863.00"
"Lenovo ThinkPad X12 Detachable Business Laptop 12.3"" FHD Touch",Intel Core i5-1130G7 - 16GB RAM - 256GB SSD - AX WiFi 6 + BT5.1 - Front IR Cam / Rear Cam - Backlit Keyboard - with Pen - TB 4 / USB4 (PD & DP1.4) - Win 10 Pro - 3Y Premier Onsite Warranty,"2,841.18"
"Microsoft Surface Laptop Go 3 12.4"" (Home & Personal) - Sage",Intel Core i5 - 8GB RAM - 256GB SSD - Win 11 Home,"1,629.00"
"ASUS TUF Gaming A14 FA401WU RTX 4050 Gaming Laptop 14"" 2.5K 165Hz",AMD Ryzen AI 9 HX 370 - 32GB RAM - 1TB SSD - Win 11 Home - AX WiFi 6E + BT5.3 - IR Cam - USB4 (with PD & DP) - HDMI2.1 FRL - Backlit Keyboard - 1Y Warranty,"3,285.56"
"ASUS TUF Gaming A16 FA608WV RTX 4060 Gaming Laptop 16"" FHD+ 144Hz",AMD Ryzen AI 9 HX 370 - 32GB RAM - 1TB SSD - Win 11 Home - AX WiFi 6E + BT5.3 - IR Cam - USB4 (with PD & DP) - HDMI2.1 FRL - 1-Zone RGB Backlit Keyboard,"3,388.27"
"MSI Modern 14 F13MG-014NZ 14"" FHD Laptop",Intel Core i7-1355U - 32GB RAM - 1TB SSD - Win 11 Home - 1Y Warranty - AX Wi-Fi 6E + BT5.3,"1,659.00"
Microsoft Surface Laptop (7th Edition) Copilot+ PC - Black,"Snapdragon X Elite (12 Core) - 16GB RAM - 512GB SSD - 15"" HDR Touch Display - Win 11 Home","2,978.99"
"Apple MacBook Air 13"" Laptop with M3 Chip - Starlight","16GB RAM - 256GB SSD - 8-Core CPU - 8-Core GPU - 13.6"" Liquid Retina Display - Backlit Keyboard - 1080p FaceTime HD Camera 30W USB-C Power Adapter","1,775.00"
Acer C734-C1SD Chromebook + Targus Bag & Met Product Care Bundle,"11.6"" HD - Intel Celeron N4500 - 4GB RAM - 32GB eMMC - AC WiFi - Webcam - ChromeOS - 3 Years Warranty",573.86
"ASUS TUF Gaming A15 TUF507ZC4 RTX 3050 Gaming Laptop 15.6"" FHD 144Hz",Intel Core i5-12500H - 16GB RAM - 512GB SSD - Win 11 Home - 1Y Warranty,"1,665.99"
"Acer TravelMate Spin P4 Flip 2in1 Laptop 14"" WUXGA Touch",Intel Core i5-1240P - 32GB RAM - 1TB SSD - Win 11 Home - 1yr warranty - AX WiFi 6E + BT5.2 - IR Cam - Thunderbolt4 - with Pen - MicroSD Card Reader - Backlit Keyboard,"1,655.32"
"Acer TravelMate P214 TMP214-53-52QC 14"" FHD",Intel Core i5-1135G7 - 16GB RAM - 256GB SSD - Win 10 Home (Free Upgradable to Win 11) - AX WiFi6 + BT5.1 - Webcam - Thunderbolt4 - HDMI - Backlit Keyboard - RJ45 - SD Card Reader,862.5
"HP Victus 15-fa0004TX RTX 3050 Gaming Laptop 15.6"" FHD 144Hz",Intel Core i5-12450H - 16GB RAM - 1TB SSD - Win 11 Home - 1Y Warranty - AX WiFi 6 + BT5.3 - Webcam - USB-C (DP1.4) - HDMI 2.1,"1,807.80"
Microsoft Surface Pro 9 - Platinum,1TB Storage - 16GB RAM - Intel i7 Processor - Windows 11 Home,"2,599.00"
"HP Probook 460 G11 Business Laptop 16"" WUXGA",Intel Core Ultra 7 155U - 32GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,943.50"
"Apple MacBook Air 15"" Laptop with M3 Chip - Midnight",16GB Unified Memory - 512GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,645.00"
"Acer TravelMate Spin P4 Flip 2in1 Laptop 14"" WUXGA Touch",Intel Core i5-1240P - 16GB RAM - 1TB SSD - Win 11 Home - 1yr warranty - AX WiFi 6E + BT5.2 - IR Cam - Thunderbolt4 - with Pen - MicroSD Card Reader - Backlit Keyboard,"1,488.10"
"HP EliteBook 640 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 7-155U - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y Onsite Warranty,"2,050.29"
